# Constructed from biom file
#OTU ID	105632_ID2881_83-DM83-A1-C11	105633_ID2881_84-DM84-A1-D11	105634_ID2881_85-DM85-A1-E11	105635_ID2881_86-DM86-A1-F11	105636_ID2881_87-DM87-A1-G11	105637_ID2881_88-DM88-A1-H11	105638_ID2881_89-DM89-A1-A12	105639_ID2881_90-DM90-A1-B12	105640_ID2881_91-DM91-A1-C12	105641_ID2881_92-DM92-A1-D12	105642_ID2881_93-DM93-A1-E12	105643_ID2881_94-DM94-A1-F12	105645_ID2881_96-DM96-A1-H12	105646_ID2881_97-DM97-A2-A1	105647_ID2881_98-DM98-A3-B1	105648_ID2881_99-DM99-A4-C1	105649_ID2881_100-DM100-A5-D1	105650_ID2881_101-DM101-A6-E1	105651_ID2881_102-DM102-A7-F1	105652_ID2881_103-DM103-A8-G1	105654_ID2881_105-DM105-A10-A2	105655_ID2881_106-DM106-A11-B2	105656_ID2881_107-DM107-A12-C2	105657_ID2881_108-DM108-A13-D2	105658_ID2881_109-DM109-A14-E2	105659_ID2881_110-DM110-A15-F2	105660_ID2881_111-DM111-A16-G2	105661_ID2881_112-DM112-A17-H2	105662_ID2881_113-DM113-A18-A3	105663_ID2881_114-DM114-A19-B3	105664_ID2881_115-DM115-A20-C3	105665_ID2881_116-DM116-A21-D3	105666_ID2881_117-DM117-A22-E3	105667_ID2881_118-DM118-A23-F3	105670_ID2881_121-DM121-A26-A4	105671_ID2881_122-DM122-A27-B4	105672_ID2881_123-DM123-A28-C4	105673_ID2881_124-DM124-A29-D4	105674_ID2881_125-DM125-A30-E4	105675_ID2881_126-DM126-A31-F4	105676_ID2881_127-DM127-A32-G4	105677_ID2881_128-DM128-A33-H4	105678_ID2881_129-DM129-A34-A5	105679_ID2881_130-DM130-A35-B5	105680_ID2881_131-DM131-A36-C5	105681_ID2881_132-DM132-A37-D5	105682_ID2881_133-DM133-A38-E5	105683_ID2881_134-DM134-A39-F5	105684_ID2881_135-DM135-A40-G5	105685_ID2881_136-DM136-A41-H5	105686_ID2881_137-DM137-A42-A6	105687_ID2881_138-DM138-A43-B6	105688_ID2881_139-DM139-A44-C6	105689_ID2881_140-DM140-A45-D6	105690_ID2881_141-DM141-A46-E6	105691_ID2881_142-DM142-A47-F6	106090_ID2881_95-DM95-A1-G12	106091_ID2881_104-DM104-A9-H1	106092_ID2881_119-DM119-A24-G3	106093_ID2881_120-DM120-A25-H3
de8469ffeeebdd518cc1d19a8373b785	516.0	9726.0	3900.0	13217.0	6581.0	16997.0	8224.0	141.0	5138.0	5890.0	13818.0	19306.0	7823.0	10503.0	16328.0	4747.0	12325.0	1949.0	4730.0	89.0	6293.0	12306.0	80597.0	21433.0	42161.0	99665.0	86938.0	95475.0	63230.0	0.0	35773.0	41141.0	27509.0	90378.0	182.0	121.0	84.0	525.0	164.0	146.0	38.0	93.0	213.0	80.0	176.0	183.0	219.0	132.0	252.0	140.0	55.0	220.0	277.0	140.0	384.0	185.0	4549.0	3696.0	148.0	250.0
bc870ddc91fc262ea74d6247a1d07076	0.0	18.0	0.0	0.0	18.0	13.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	151.0	132.0	94.0	137.0	56.0	74.0	102.0	129.0	80.0	87.0	68.0	57.0	36.0	34.0	36.0	40.0	27.0	36.0	22.0	48.0	129.0	139.0	119.0	120.0	148.0	146.0	100.0	28.0	65.0	106.0	79.0	154308.0	83237.0	72556.0	47736.0	23381.0	85205.0	45992.0	4570.0	67627.0	127089.0	9043.0	55955.0	0.0	11.0	0.0	0.0
0b438323a296b5f2ce2c8bbe3949ee8d	1387.0	24074.0	42909.0	54050.0	29967.0	35595.0	60834.0	39781.0	23842.0	43532.0	31901.0	48934.0	15771.0	45836.0	12302.0	25856.0	18717.0	21540.0	20978.0	50092.0	19755.0	14516.0	10647.0	81.0	1152.0	21.0	83.0	365.0	352.0	804.0	79.0	75.0	53.0	1644.0	37.0	37.0	18.0	55.0	45.0	26.0	17.0	19.0	67.0	19.0	471.0	766.0	614.0	527.0	1017.0	249.0	133.0	691.0	540.0	155.0	998.0	546.0	26093.0	19734.0	0.0	97.0
679ed1e95f74746fd0e5f5db06eaa1c3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	58.0	0.0	48.0	0.0	38.0	46.0	47.0	49.0	40.0	26.0	32.0	37.0	0.0	0.0	0.0	0.0	0.0	20.0	43.0	66.0	73.0	96.0	57.0	51.0	117.0	55.0	0.0	38.0	71.0	34.0	4790.0	6917.0	11814.0	149039.0	132675.0	6723.0	5802.0	0.0	28159.0	13855.0	3576.0	228720.0	0.0	0.0	0.0	0.0
e6b14a02fb00defa9c0a9d4ddf376fac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	59.0	52.0	61.0	0.0	50.0	87.0	61.0	44.0	38.0	42.0	28.0	33.0	0.0	20.0	21.0	0.0	0.0	0.0	50.0	67.0	91.0	66.0	58.0	175.0	118.0	66.0	61.0	29.0	58.0	45.0	30062.0	117962.0	128.0	27525.0	118.0	85565.0	19140.0	103.0	43730.0	79330.0	28750.0	85.0	0.0	0.0	11.0	0.0
ba69a87d27e560a245fc4a1b2a4f34e8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	69.0	43.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	64.0	0.0	0.0	40.0	67.0	34.0	0.0	0.0	53.0	0.0	16448.0	24094.0	47581.0	91.0	157.0	25815.0	22353.0	124095.0	105597.0	51357.0	11894.0	0.0	0.0	0.0	0.0	0.0
8dd0df81528996515e782ee88f3ba77e	487.0	23437.0	5168.0	19902.0	21185.0	26676.0	2706.0	38115.0	14085.0	7799.0	23205.0	94217.0	4635.0	6037.0	11135.0	17721.0	34949.0	1302.0	15368.0	15835.0	5112.0	3236.0	883.0	270.0	393.0	19.0	38.0	457.0	62.0	1242.0	30.0	43.0	42.0	463.0	14.0	19.0	9.0	0.0	18.0	0.0	0.0	0.0	23.0	8.0	100.0	291.0	118.0	71.0	118.0	92.0	35.0	92.0	115.0	30.0	189.0	47.0	1169.0	2360.0	0.0	13.0
e69748024979255607d7c4bced72f58d	832.0	27215.0	17999.0	19671.0	23952.0	29505.0	59.0	19199.0	16676.0	14893.0	44.0	46794.0	10760.0	12526.0	22490.0	16475.0	23562.0	12.0	23504.0	22838.0	11210.0	18.0	2156.0	162.0	1652.0	35.0	53.0	686.0	30.0	1266.0	103.0	17.0	24.0	0.0	20.0	40.0	9.0	29.0	12.0	0.0	0.0	0.0	15.0	9.0	188.0	195.0	221.0	162.0	545.0	107.0	92.0	178.0	162.0	98.0	392.0	269.0	0.0	9613.0	0.0	29.0
a433e3e99f31f24d34bcf65f527b4c24	65.0	1272.0	1156.0	787.0	5813.0	932.0	4251.0	3288.0	1354.0	2946.0	1480.0	5242.0	2911.0	918.0	658.0	1814.0	1565.0	926.0	1213.0	1759.0	673.0	2655.0	22996.0	194.0	33513.0	28296.0	33067.0	14350.0	22858.0	50830.0	51703.0	22626.0	1987.0	14895.0	63.0	57.0	114.0	200.0	72.0	56.0	0.0	38.0	28.0	20.0	70.0	57.0	82.0	72.0	144.0	48.0	22.0	88.0	104.0	73.0	110.0	68.0	1126.0	929.0	82.0	128.0
6c7fe380b1b5efb18d4446875e73cf59	220.0	12918.0	8237.0	8298.0	893.0	8345.0	1965.0	5614.0	8300.0	1220.0	198.0	20349.0	44909.0	19457.0	15094.0	28558.0	11053.0	4074.0	6804.0	12976.0	34668.0	81.0	10805.0	3577.0	10827.0	44.0	133.0	626.0	148.0	6579.0	81.0	80.0	298.0	144.0	44.0	111.0	26.0	114.0	56.0	19.0	100.0	18.0	39.0	30.0	724.0	1138.0	1019.0	759.0	1733.0	384.0	293.0	1151.0	789.0	190.0	1694.0	662.0	14702.0	17093.0	30.0	105.0
